Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
A B Coaches Ltd,11827,,
Rotala Group of Companies,7869,85.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7869/download-matching-report/
Chiltern Automotive Limited,4001,,
Transport for Greater Manchester,12582,32.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12582/download-matching-report/
Warrington’s Own Buses,7762,75.0,https://publish.bus-data.dft.gov.uk/org/26/dataset/avl/7762/download-matching-report/
Catteralls,10831,94.0,https://publish.bus-data.dft.gov.uk/org/789/dataset/avl/10831/download-matching-report/
Hatch Green Coaches,10883,0.0,https://publish.bus-data.dft.gov.uk/org/136/dataset/avl/10883/download-matching-report/
Procters Coaches,12098,0.0,https://publish.bus-data.dft.gov.uk/org/401/dataset/avl/12098/download-matching-report/
Royal Buses,8920,0.0,https://publish.bus-data.dft.gov.uk/org/5/dataset/avl/8920/download-matching-report/
Ron W Dew & Son Ltd,12077,0.0,https://publish.bus-data.dft.gov.uk/org/178/dataset/avl/12077/download-matching-report/
Coach Langtoft,3924,,
Bennetts Travel,8078,,
Southdown Buses,1659,,
Hornsby Travel Ltd,805,87.0,https://publish.bus-data.dft.gov.uk/org/219/dataset/avl/805/download-matching-report/
Horseman Coaches,5342,,
Transport for Greater Manchester,12880,97.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12880/download-matching-report/
Whippet Coaches,8295,58.0,https://publish.bus-data.dft.gov.uk/org/114/dataset/avl/8295/download-matching-report/
L & G Coaches,8053,,
Taunton School Enterprises Ltd,12791,,
R & S Watersons,12787,59.0,https://publish.bus-data.dft.gov.uk/org/388/dataset/avl/12787/download-matching-report/
Reptons Coaches,7654,0.0,https://publish.bus-data.dft.gov.uk/org/240/dataset/avl/7654/download-matching-report/
Richmonds Coaches,8230,21.0,https://publish.bus-data.dft.gov.uk/org/87/dataset/avl/8230/download-matching-report/
Stringers Pontefract Motorways,1587,0.0,https://publish.bus-data.dft.gov.uk/org/575/dataset/avl/1587/download-matching-report/
Pauls Travel,8303,0.0,https://publish.bus-data.dft.gov.uk/org/295/dataset/avl/8303/download-matching-report/
Stotts Tours,9435,8.0,https://publish.bus-data.dft.gov.uk/org/197/dataset/avl/9435/download-matching-report/
Travel Cornwall,2285,0.0,https://publish.bus-data.dft.gov.uk/org/519/dataset/avl/2285/download-matching-report/
Cumbria Classic Coaches,1750,22.0,https://publish.bus-data.dft.gov.uk/org/206/dataset/avl/1750/download-matching-report/
Lords Travel,5439,100.0,https://publish.bus-data.dft.gov.uk/org/181/dataset/avl/5439/download-matching-report/
Go-Ahead,7996,87.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7996/download-matching-report/
A & J Coaches,8392,,
Stewarts Coaches Ltd,6945,0.0,https://publish.bus-data.dft.gov.uk/org/412/dataset/avl/6945/download-matching-report/
Procters Coaches,12035,0.0,https://publish.bus-data.dft.gov.uk/org/401/dataset/avl/12035/download-matching-report/
Coach Events Services Ltd,8375,50.0,https://publish.bus-data.dft.gov.uk/org/883/dataset/avl/8375/download-matching-report/
Belle Vue,3641,49.0,https://publish.bus-data.dft.gov.uk/org/537/dataset/avl/3641/download-matching-report/
Squarepeg,9944,45.0,https://publish.bus-data.dft.gov.uk/org/573/dataset/avl/9944/download-matching-report/
Go Goodwins Coaches Ltd,1431,,
Varteg Motors Ltd T/A Phil Anslow Coaches,12251,0.0,https://publish.bus-data.dft.gov.uk/org/496/dataset/avl/12251/download-matching-report/
Lawson's of Corby,4711,0.0,https://publish.bus-data.dft.gov.uk/org/110/dataset/avl/4711/download-matching-report/
Star Cabs,8105,,
Cresta Coaches,8420,0.0,https://publish.bus-data.dft.gov.uk/org/451/dataset/avl/8420/download-matching-report/
BM Coaches and Rental Ltd,12961,0.0,https://publish.bus-data.dft.gov.uk/org/627/dataset/avl/12961/download-matching-report/
KEANE TRAVEL LIMITED,11536,,
HCT Group,8292,,
ASD Coaches,12968,0.0,https://publish.bus-data.dft.gov.uk/org/284/dataset/avl/12968/download-matching-report/
Stagecoach,1692,27.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/1692/download-matching-report/
Marshopper Ltd,8859,100.0,https://publish.bus-data.dft.gov.uk/org/829/dataset/avl/8859/download-matching-report/
Wright Bros Coaches,3617,0.0,https://publish.bus-data.dft.gov.uk/org/218/dataset/avl/3617/download-matching-report/
Discount Travel Solutions Ltd,7386,,
Harrogate Coach Travel Ltd,8262,14.0,https://publish.bus-data.dft.gov.uk/org/30/dataset/avl/8262/download-matching-report/
Country Bus,4696,0.0,https://publish.bus-data.dft.gov.uk/org/65/dataset/avl/4696/download-matching-report/
LMS Travel,1312,68.0,https://publish.bus-data.dft.gov.uk/org/168/dataset/avl/1312/download-matching-report/
Stanley Travel,2063,0.0,https://publish.bus-data.dft.gov.uk/org/574/dataset/avl/2063/download-matching-report/
GEM Mini Travel Ltd,10945,0.0,https://publish.bus-data.dft.gov.uk/org/281/dataset/avl/10945/download-matching-report/
JW Lodge & Sons,11713,,
First Bus,699,58.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/699/download-matching-report/
Phil Haines Coaches,8113,,
First Bus,7889,83.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7889/download-matching-report/
Cruisers,1603,0.0,https://publish.bus-data.dft.gov.uk/org/233/dataset/avl/1603/download-matching-report/
Sharpes of Nottingham,10090,57.0,https://publish.bus-data.dft.gov.uk/org/279/dataset/avl/10090/download-matching-report/
Rooster Bus Ltd,4323,,
Felix Taxis & Co.,6500,100.0,https://publish.bus-data.dft.gov.uk/org/201/dataset/avl/6500/download-matching-report/
Herberts Travel,6013,19.0,https://publish.bus-data.dft.gov.uk/org/359/dataset/avl/6013/download-matching-report/
John Dix Travel LTD,11817,,
A-Line Coaches,9752,55.0,https://publish.bus-data.dft.gov.uk/org/533/dataset/avl/9752/download-matching-report/
trentbarton,7949,27.0,https://publish.bus-data.dft.gov.uk/org/9/dataset/avl/7949/download-matching-report/
First Bus,2920,75.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/2920/download-matching-report/
McCall's Coaches Ltd,11505,0.0,https://publish.bus-data.dft.gov.uk/org/925/dataset/avl/11505/download-matching-report/
WNCT LTD,7916,92.0,https://publish.bus-data.dft.gov.uk/org/71/dataset/avl/7916/download-matching-report/
Rotala Group of Companies,12521,75.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/12521/download-matching-report/
Vectare,7693,88.0,https://publish.bus-data.dft.gov.uk/org/225/dataset/avl/7693/download-matching-report/
Somerset County Council,11125,0.0,https://publish.bus-data.dft.gov.uk/org/505/dataset/avl/11125/download-matching-report/
Al's Coaches,3138,0.0,https://publish.bus-data.dft.gov.uk/org/535/dataset/avl/3138/download-matching-report/
F R Willetts,12054,0.0,https://publish.bus-data.dft.gov.uk/org/467/dataset/avl/12054/download-matching-report/
Rotala Group of Companies,7870,88.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7870/download-matching-report/
Travelsure,3500,0.0,https://publish.bus-data.dft.gov.uk/org/394/dataset/avl/3500/download-matching-report/
Vale Travel,6817,0.0,https://publish.bus-data.dft.gov.uk/org/264/dataset/avl/6817/download-matching-report/
Acme Bus Co,11979,,
The Big Lemon CIC,10220,53.0,https://publish.bus-data.dft.gov.uk/org/228/dataset/avl/10220/download-matching-report/
Crosskeys Coaches,13281,,
Mil-Ken Travel,8270,100.0,https://publish.bus-data.dft.gov.uk/org/913/dataset/avl/8270/download-matching-report/
Pulhams Coaches,11833,,
NBM Hire,2598,,
