Name,Status,Date Invite Accepted,Organisation creation date,Date Invited,Last Log-In,Permit Holder,National Operator Codes,Licence Numbers,Number of Licences,Unregistered Services,OTC Registered Services,Out of scope services(exempted),Registered Services in scope(for BODS),Registered Services Published,Compliant Registered Services Published,% Compliant Registered Services Published,Number of School or Works Services,School or Works Services Subsidised,School or Works Services Subsidised In Part,Flexible Registration,Number of Published Services with Valid Operating Dates,Additional Published Services with Future Start Date,Number of Published Timetable Datasets,Number of Published AVL Datafeeds,Number of Published Fare Datasets,% Compliant Published Fare Datasets,Number of Pass Products,Number of Trip Products,% Operator overall AVL to Timetables matching score,Archived matching reports URL
Implementation Test,Active,2020-01-27 17:26:00+00:00,2020-01-27 17:24:07.945458+00:00,2020-01-27 17:25:29.801056+00:00,2023-10-30 09:15:12.335568+00:00,UNKNOWN,bentest;CRTB;IMPTEST;New code,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,0.00%,0.0,0.0,,
Transdev,Active,2020-01-29 09:14:06.375139+00:00,2020-01-28 17:11:13.269939+00:00,2020-01-28 17:13:55.924671+00:00,2023-10-26 09:30:14.894092+00:00,TRUE,BPTR;HRGT;KDTR;LNUD;ROST;TPEN;YCST,PB0001746;PB0001748;PB0001873;PB2044957;PC0001838;PC0005248;PC0005249,7,10.0,218.0,0.0,218.0,196.0,196.0,89.91%,53.0,35.0,0.0,0.0,0.0,0.0,1,2,2.0,0.00%,2.0,2.0,76.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/ppc-archive/
Cumfybus,Active,2020-11-10 12:28:49.938318+00:00,2020-01-30 11:22:48.394362+00:00,2020-09-22 14:22:54.269849+00:00,2023-10-11 09:09:56.693320+00:00,TRUE,CUBU,PC1015222,1,2.0,26.0,0.0,26.0,16.0,16.0,61.54%,1.0,1.0,0.0,1.0,17.0,0.0,1,1,1.0,0.00%,1.0,1.0,0.0,https://publish.bus-data.dft.gov.uk/org/4/dataset/ppc-archive/
Royal Buses,Active,2020-11-19 15:27:00+00:00,2020-01-30 11:23:51.278156+00:00,2020-12-14 11:10:57.365810+00:00,2023-10-27 07:41:46.451583+00:00,TRUE,ESTW,PH1086607,1,0.0,5.0,0.0,5.0,5.0,5.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.00%,1.0,1.0,0.0,https://publish.bus-data.dft.gov.uk/org/5/dataset/ppc-archive/
Centrebus,Active,2020-02-12 14:58:32.317804+00:00,2020-01-30 11:24:49.389200+00:00,2020-02-12 14:57:49.626459+00:00,2023-10-30 09:47:50.668420+00:00,TRUE,CBBH;CBNL,PF0002280;PF1056524,2,0.0,54.0,0.0,54.0,54.0,54.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.00%,1.0,1.0,81.0,https://publish.bus-data.dft.gov.uk/org/6/dataset/ppc-archive/
Reading Buses,Active,2020-02-17 09:37:44.281255+00:00,2020-01-30 11:25:43.594866+00:00,2020-02-14 17:25:13.062167+00:00,2023-10-26 09:30:14.894092+00:00,TRUE,GLRB;NADS;NEWB;RBUS,PH0005856;PH1108688,2,0.0,64.0,0.0,64.0,59.0,59.0,92.19%,1.0,0.0,0.0,0.0,25.0,12.0,1,1,1.0,0.00%,1.0,1.0,94.0,https://publish.bus-data.dft.gov.uk/org/7/dataset/ppc-archive/
D&G Bus,Active,2020-01-30 15:48:54.060788+00:00,2020-01-30 11:27:37.822189+00:00,2020-01-30 11:56:18.431140+00:00,2023-10-26 09:30:14.894092+00:00,TRUE,CRDR;DAGC,PC1090231;PD1128125;PD2049888,3,2.0,75.0,0.0,75.0,69.0,69.0,92.00%,1.0,0.0,0.0,0.0,3.0,2.0,2,1,1.0,0.00%,1.0,1.0,28.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/ppc-archive/
trentbarton,Active,2020-02-20 15:42:48.127303+00:00,2020-01-30 11:28:28.734176+00:00,2020-02-20 15:34:03.741395+00:00,2023-10-27 10:20:59.088628+00:00,TRUE,BRTB;TBTN,PB0002186;PB0002711;PC0001135;PC0003375,4,0.0,33.0,0.0,33.0,33.0,33.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.00%,1.0,1.0,27.0,https://publish.bus-data.dft.gov.uk/org/9/dataset/ppc-archive/
Go-Ahead,Active,2020-01-27 17:26:00+00:00,2020-01-30 11:29:13.683554+00:00,2020-01-30 11:58:09.460144+00:00,2023-10-30 10:11:07.792992+00:00,TRUE,BHBC;BLUS;BTRI;CHAM;CSLB;CSSO;DAMY;DBLU;ETBU;EYMS;GAGL;GAHL;GNEL;GOEA;GONW;GOSW;HEDO;KCTB;LCAG;LGEN;LONC;MBGA;METR;NATI;OEXP;OXBC;PLYC;SDMS;SVCT;SWWD;TDTR;TFCN;THTR;TOUR;UNBU;UNIL;WDBC,PB0000328;PB0003954;PC2021320;PF0002189;PF1000671;PF2000726;PH0000135;PH0005727;PH0006008;PH0007184;PH1121126;PK0001213;PK0001816;PK0002125,14,4.0,1081.0,0.0,1081.0,927.0,927.0,85.75%,14.0,2.0,1.0,4.0,265.0,92.0,13,10,10.0,20.00%,9.0,9.0,47.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/ppc-archive/
Mulleys Motorways,Active,2020-11-25 13:07:37.061366+00:00,2020-01-30 11:31:10.440283+00:00,2020-10-16 12:47:20.490612+00:00,2023-10-30 09:20:32.136477+00:00,TRUE,MULM,PF0000070,1,0.0,16.0,0.0,16.0,16.0,16.0,100.00%,1.0,0.0,0.0,0.0,0.0,0.0,18,1,1.0,100.00%,1.0,1.0,90.0,https://publish.bus-data.dft.gov.uk/org/11/dataset/ppc-archive/
